,id,termCode,courseName,score,passFlag,coursePoint,examType,majorFlag,examProp,replaceFlag,specificReason
0,0EF346BA2737C475E0636B27F5DBF8D4,2023-2024-1,电路(ELEC426304),97,True,4,开卷,选修,初修,False,
1,0F0DACE705C216BCE0636B27F5DB0B84,2023-2024-1,数据结构与算法I(COMP400505),96,True,3.5,闭卷,选修,初修,False,
2,0E70F0806D7A70BAE0636A27F5DB2775,2023-2024-1,概率论与数理统计(MATH295507),99,True,3,,必修,初修,False,
3,0EBC5A0623366E0CE0636A27F5DB0A3E,2023-2024-1,光学(PHYS210309),89,True,4,闭卷,必修,初修,False,
4,0EB556C5B13A8E26E0636A27F5DB442E,2023-2024-1,数学物理方法(PHYS316109),97,True,5,闭卷,必修,初修,False,
5,0CFB59C917D268B6E0636B27F5DBCDF9,2023-2024-1,普通物理学 热学(PHYS215209),98,True,4,闭卷,必修,初修,False,
6,0E42B90FE18F4C4EE0636B27F5DB37E3,2023-2024-1,毛泽东思想和中国特色社会主义理论体系概论(MLMD193514),85,True,2,,必修,初修,False,
7,0E726B8B8BE05EF0E0636A27F5DB9E44,2023-2024-1,体育-3(PHED109250),80,True,0.5,考查,必修,初修,False,
8,0DBD5AE507E5C04BE0636A27F5DBE045,2023-2024-1,基础物理实验-2(PHYS284009),A＋,True,1,,必修,初修,False,
9,0ABF5F936BD1463FE0636A27F5DB276A,2023-2024-1,互联网技术与应用(GNED100627),97,True,2,闭卷,选修,初修,False,
10,011EE251BD0B0053E0636A27F5DBF3BA,2022-2023-3,科学技术讲座Ⅰ(PHYS541709),A＋,True,1,考查,选修,初修,False,
11,FF6A9D022D38C5B8E0536A27F5DB516F,2022-2023-2,大学化学(CHEM249809),95,True,3,闭卷,选修,初修,False,
12,FF01102A2B2B10FBE0536A27F5DB5340,2022-2023-2,中国近现代史纲要(MLMD100214),80,True,2,开卷,必修,初修,False,
13,FF2E0C21DFC536FAE0536A27F5DBED4E,2022-2023-2,基础物理实验-1(PHYS283909),A＋,True,1,,必修,初修,False,
14,FF17FA112580FD11E0536A27F5DBCF88,2022-2023-2,国防教育(MILI100554),79,True,2,开卷,必修,初修,False,
15,FF199667026F51D8E0536B27F5DBD802,2022-2023-2,工科数学分析-2(MATH296107),100,True,6,,必修,初修,False,
16,F72FE1EFB8B64DCCE0536B27F5DBC344,2022-2023-2,体育-4(PHED109350),78,True,0.5,考查,必修,初修,False,
17,FEF4C0CFDBFF2A81E0536B27F5DB365F,2022-2023-2,大学化学实验(CHEM249909),94,True,1,考查,选修,初修,False,
18,FEEF8397E6171DB0E0536A27F5DB28CD,2022-2023-2,英语学术写作与展示(ENGL533012),91,True,2,闭卷,选修,初修,False,
19,FE8962C76714993DE0536A27F5DB773F,2022-2023-2,计算思维与程序设计(GNED100727),96,True,2,闭卷,选修,初修,False,
20,FE44A9CE15B3F0C0E0536B27F5DBE69B,2022-2023-2,电磁学(PHYS215409),92,True,4,闭卷,必修,初修,False,
21,FE0F807B18A3C43CE0536A27F5DB80AA,2022-2023-2,大数据思维与科学创新(CORE100405),99,True,2,考查,选修,初修,False,
22,0493E341F3A067BAE0636A27F5DB6284,2022-2023-1,军训(MILI100654),87,True,2,开卷,必修,初修,False,
23,F727F7784EE14A61E0536A27F5DB9650,2022-2023-1,体育-1(PHED109050),84,True,0.5,考查,必修,初修,False,
24,F6EE2F603D7D8059E0536A27F5DBFFE2,2022-2023-1,工科数学分析-1(MATH296007),98,True,6,闭卷,必修,初修,False,
25,F6DE2A3326ABFFA0E0536B27F5DB0246,2022-2023-1,普通物理学 力学(PHYS215109),87,True,4,闭卷,必修,初修,False,
26,F675A652EB9731A8E0536A27F5DBB1C8,2022-2023-1,思想道德与法治(MLMD196514),83,True,3,开卷,必修,初修,False,
27,F59865F9357C4205E0536A27F5DB4665,2022-2023-1,大学综合英语（钱院H）(ENGL205512),91,True,4,闭卷,必修,初修,False,
28,F5465B6FDC5F39E5E0536A27F5DB67E5,2022-2023-1,线性代数与解析几何(MATH294207),100,True,4,闭卷,必修,初修,False,
29,F536FF15D243EA56E0536B27F5DB62EE,2022-2023-1,大学计算机基础II(COMP200253),94,True,3,闭卷,选修,初修,False,
30,F4458F2A55F69B6CE0536B27F5DBEB6B,2022-2023-1,物理建模与创新实践(GNED100609),A＋,True,2,考查,选修,初修,False,
31,F3DA906C957254C7E0536B27F5DBFDBF,2022-2023-1,汽车构造(GNED106103),92,True,2,考查,选修,初修,False,
